Category,Issue,Full text,Short text
Απενεργοποίηση λειτουργίας ή χαρακτηριστικού του παιχνιδιού,Απενεργοποίηση κανονικών παιχνιδιών διαδοχικής επιλογής,Ορισμένοι παίκτες ενδέχεται να αντιμετωπίζουν προβλήματα με τα κανονικά παιχνίδια διαδοχικής επιλογής. Γνωρίζουμε το πρόβλημα και για αυτόν το λόγο έχουμε απενεργοποιήσει προσωρινά την ουρά αναμονής μέχρι να διορθωθεί. Τα παιχνίδια τυφλής επιλογής και τα προσαρμοσμένα παιχνίδια είναι διαθέσιμα κανονικά.,Λόγω κάποιου θέματος με την ουρά αναμονής έχουμε απενεργοποιήσει τα κανονικά παιχνίδια διαδοχικής επιλογής. Τα παιχνίδια τυφλής επιλογής και τα προσαρμοσμένα παιχνίδια είναι διαθέσιμα κανονικά.
Απενεργοποίηση λειτουργίας ή χαρακτηριστικού του παιχνιδιού,Απενεργοποίηση κανονικών παιχνιδιών τυφλής επιλογής,Ορισμένοι παίκτες ενδέχεται να αντιμετωπίζουν προβλήματα με τα κανονικά παιχνίδια τυφλής επιλογής. Γνωρίζουμε το πρόβλημα και για αυτόν το λόγο έχουμε απενεργοποιήσει προσωρινά την ουρά αναμονής μέχρι να διορθωθεί. Τα παιχνίδια διαδοχικής επιλογής και τα προσαρμοσμένα παιχνίδια είναι διαθέσιμα κανονικά.,Λόγω κάποιου θέματος με την ουρά αναμονής έχουμε απενεργοποιήσει τα κανονικά παιχνίδια τυφλής επιλογής. Τα παιχνίδια διαδοχικής επιλογής και τα προσαρμοσμένα παιχνίδια είναι διαθέσιμα κανονικά.
Απενεργοποίηση λειτουργίας ή χαρακτηριστικού του παιχνιδιού,Απενεργοποίηση της Κυριαρχίας,Ορισμένοι παίκτες ενδέχεται να αντιμετωπίζουν προβλήματα με την Κυριαρχία. Γνωρίζουμε το πρόβλημα και για αυτόν το λόγο έχουμε απενεργοποιήσει προσωρινά την ουρά αναμονής μέχρι να διορθωθεί. Όλοι οι υπόλοιποι τύποι παιχνιδιού είναι διαθέσιμοι. ,Λόγω κάποιου θέματος με την ουρά αναμονής έχουμε απενεργοποιήσει την Κυριαρχία. Όλοι οι υπόλοιποι τύποι παιχνιδιού είναι διαθέσιμοι.
Απενεργοποίηση λειτουργίας ή χαρακτηριστικού του παιχνιδιού,Απενεργοποίηση του Δάσους της Σύγχυσης,Ορισμένοι παίκτες ενδέχεται να αντιμετωπίζουν προβλήματα όταν παίζουν στο Δάσος της Σύγχυσης. Γνωρίζουμε το πρόβλημα και για αυτόν το λόγο έχουμε απενεργοποιήσει προσωρινά την ουρά αναμονής μέχρι να διορθωθεί. Όλοι οι υπόλοιποι τύποι παιχνιδιού είναι διαθέσιμοι. ,Λόγω κάποιου θέματος με την ουρά αναμονής έχουμε απενεργοποιήσει το Δάσος της Σύγχυσης. Όλοι οι υπόλοιποι χάρτες είναι διαθέσιμοι.
Απενεργοποίηση λειτουργίας ή χαρακτηριστικού του παιχνιδιού,Απενεργοποίηση προσαρμοσμένων παιχνιδιών,Ορισμένοι παίκτες ενδέχεται να αντιμετωπίζουν προβλήματα με τα προσαρμοσμένα παιχνίδια. Γνωρίζουμε το πρόβλημα και για αυτόν το λόγο έχουμε απενεργοποιήσει προσωρινά αυτόν τον τύπο παιχνιδιού μέχρι να διορθωθεί. Όλοι οι υπόλοιποι τύποι παιχνιδιού είναι διαθέσιμοι. ,"Λόγω κάποιου θέματος με τα προσαρμοσμένα παιχνίδια, τα έχουμε απενεργοποιήσει προσωρινά. Οι ουρές αναμονής με εύρεση συμπαικτών είναι διαθέσιμες κανονικά."
Απενεργοποίηση λειτουργίας ή χαρακτηριστικού του παιχνιδιού,Απενεργοποίηση εύρεσης συμπαικτών,Ορισμένοι παίκτες ενδέχεται να αντιμετωπίζουν προβλήματα με την εύρεση συμπαικτών. Γνωρίζουμε το πρόβλημα και για αυτόν το λόγο έχουμε απενεργοποιήσει όλες τις ουρές αναμονής για την εύρεση συμπαικτών μέχρι να διορθωθεί. Τα προσαρμοσμένα παιχνίδια είναι διαθέσιμα κανονικά.,Λόγω κάποιου θέματος με την ουρά αναμονής έχουμε απενεργοποιήσει προσωρινά την εύρεση συμπαικτών. Τα προσαρμοσμένα παιχνίδια είναι διαθέσιμα κανονικά.
Απενεργοποίηση λειτουργίας ή χαρακτηριστικού του παιχνιδιού,Ελάχιστος αριθμός παικτών για προσαρμοσμένα παιχνίδια,Υπάρχει ασυνήθιστα υψηλή κίνηση στους σέρβερ μας. Προκειμένου να μειωθεί ο φόρτος του συστήματος έχουμε ορίσει προσωρινά ένα ελάχιστο όριο NUMBER παικτών μέχρι να διορθωθεί το πρόβλημα.,Το ελάχιστο όριο παικτών για παιχνίδια εξάσκησης έχει αυξηθεί προς το παρόν σε NUMBER παίκτες.
Θέματα συνομιλίας,Έκτακτη συντήρηση συνομιλίας,Η συνομιλία του League of Legends είναι εκτός λειτουργίας λόγω εργασιών συντήρησης. ,Η συνομιλία είναι εκτός λειτουργίας προς το παρόν λόγω εργασιών συντήρησης.
Θέματα συνομιλίας,Η λίστα φίλων δεν φορτώνει,Ορισμένοι παίκτες ενδέχεται να αντιμετωπίζουν προβλήματα με τη φόρτωση της λίστας φίλων. Έχουμε ενημερωθεί για το πρόβλημα και καταβάλλουμε κάθε προσπάθεια για να το λύσουμε το συντομότερο δυνατόν. ,Εργαζόμαστε για την επίλυση ενός θέματος που ενδέχεται να μην επιτρέπει τη φόρτωση της λίστας φίλων σας.
Θέματα συνομιλίας,Αποσύνδεση από τη συνομιλία,"Ορισμένοι παίκτες ενδέχεται να αντιμετωπίζουν διακοπές στη λειτουργία της συνομιλίας. Έχουμε ενημερωθεί για το πρόβλημα και καταβάλλουμε κάθε προσπάθεια για να το λύσουμε το συντομότερο δυνατόν. Αν αποσυνδεθείτε από τη συνομιλία, χρησιμοποιήστε το κουμπί «Επανασύνδεση» για να συνδεθείτε ξανά.",Προσπαθούμε να λύσουμε ένα πρόβλημα που ενδεχομένως προκαλεί αποσυνδέσεις από τη συνομιλία.
Προβλήματα διακοπής υπηρεσίας/σύνδεσης,Γενικά θέματα σύνδεσης,Μερικοί παίκτες ενδέχεται να αντιμετωπίζουν προβλήματα κατά τη σύνδεση στο παιχνίδι. Έχουμε ενημερωθεί για το πρόβλημα και καταβάλλουμε κάθε προσπάθεια για να το λύσουμε το συντομότερο δυνατόν.,Προσπαθούμε να λύσουμε ένα πρόβλημα που ενδεχομένως προκαλεί προβλήματα κατά τη σύνδεση.
Προβλήματα διακοπής υπηρεσίας/σύνδεσης,Έκτακτη συντήρηση,Το League of Legends είναι προς το παρόν εκτός λειτουργίας λόγω εργασιών συντήρησης.,Το League of Legends είναι προς το παρόν εκτός λειτουργίας λόγω εργασιών συντήρησης.
Προβλήματα διακοπής υπηρεσίας/σύνδεσης,Επέκταση χρόνου συντήρησης,Παρουσιάστηκαν ορισμένες απρόσμενες επιπλοκές και οι εργασίες συντήρησης πρέπει να διαρκέσουν περισσότερο.,Οι εργασίες συντήρησης θα διαρκέσουν περισσότερο από όσο είχε ανακοινωθεί.
Προβλήματα διακοπής υπηρεσίας/σύνδεσης,Κρασαρίσματα Παιχνιδιών,Ορισμένοι παίκτες ενδέχεται να αντιμετωπίζουν περιστασιακά διακοπές στη λειτουργία του παιχνιδιού. Έχουμε ενημερωθεί για το πρόβλημα και καταβάλλουμε κάθε προσπάθεια για να το λύσουμε το συντομότερο δυνατόν.,Προσπαθούμε να λύσουμε ένα πρόβλημα που προκαλεί περιστασιακές διακοπές του παιχνιδιού.
Προβλήματα διακοπής υπηρεσίας/σύνδεσης,Αποσύνδεση,Μερικοί παίκτες ενδέχεται να αποσυνδέονται περιστασιακά από το παιχνίδι. Έχουμε ενημερωθεί για το πρόβλημα και καταβάλλουμε κάθε προσπάθεια για να το λύσουμε το συντομότερο δυνατόν.,Προσπαθούμε να λύσουμε ένα πρόβλημα που ενδεχομένως προκαλεί αποσυνδέσεις από το παιχνίδι.
Προγραμματισμένη συντήρηση,Προγραμματισμένη συντήρηση,Το League of Legends είναι εκτός λειτουργίας προς το παρόν λόγω προγραμματισμένων εργασιών συντήρησης.,Το League of Legends είναι εκτός λειτουργίας προς το παρόν λόγω προγραμματισμένων εργασιών συντήρησης.
Προγραμματισμένη συντήρηση,Επέκταση χρόνου συντήρησης,Παρουσιάστηκαν ορισμένα θέματα με την ενημέρωση και οι εργασίες συντήρησης πρέπει να διαρκέσουν περισσότερο. ,Οι εργασίες συντήρησης θα διαρκέσουν περισσότερο από όσο είχε ανακοινωθεί.
