Category,Issue,Full text,Short text
Lista de aşteptare pentru autentificare,Servere ocupate,"Momentan, avem probleme de capacitate şi este posibil ca unii dintre voi să fi primit semnal de ocupat la încercarea de autentificare la joc. Am luat la cunoştinţă de existenţa problemei şi lucrăm să o remediem cât mai rapid posibil.","Momentan, avem probleme de capacitate şi e posibil primiţi semnal de ocupat la încercarea de autentificare. "
Lag (decalare),Lag (decalare),E posibil ca unii dintre voi să se confrunte cu decalaje în joc. Am luat la cunoştinţă de existenţa problemei şi lucrăm să o remediem cât mai rapid posibil.,Lucrăm momentan la remedierea unei probleme ce poate cauza decalaje în joc.
Magazin,Articole lipsă în inventar,"E posibil ca unora dintre voi să le lipsească articole din inventar. Am luat la cunoştinţă de existenţa problemei şi lucrăm să o remediem cât mai rapid posibil. După ce rezolvăm problema de bază, toate articolele lipsă vor fi recuperate.",Lucrăm momentan la rezolvarea unei probleme ce poate duce la dispariţia unor articole din inventarul vostru. Orice articol pierdut va fi recuperat.
Magazin,Întreţinere Magazin,Magazinul League of Legends este momentan închis pentru întreţinere planificată.,Magazinul League of Legends este momentan închis pentru întreţinere planificată.
Magazin,Întreţinere de urgenţă Magazin,Magazinul League of Legends este momentan închis pentru întreţinere cât timp lucrăm la rezolvarea unor probleme la achiziţii.,Magazinul League of Legends este momentan închis pentru întreţinere.
Magazin,Nu se pot cumpăra Riot Points.,Achiziţiile de Riot Points au fost dezactivate cât timp remediem o problemă cu Magazinul League of Legends. Puteţi debloca în continuare articole utilizând Riot Points şi Influence Points pe care le deţineţi acum. ,Achiziţiile de Riot Points au fost dezactivate temporar cât timp remediem o problemă cu Magazinul. 
Mod joc sau caracteristică dezactivată,Listă de aşteptare pentru jocuri ranked solo/duo dezactivată,"E posibil ca unii dintre voi să se confrunte cu probleme în jocurile ranked solo/duo. Am luat la cunoştinţă de existenţa problemei şi am dezactivat temporar lista de aşteptare, cât timp lucrăm la remediere. Jocurile standard sunt în continuare disponibile.",Am dezactivat jocurile ranked solo/duo cât timp remediem problemele la lista de aşteptare. Jocurile standard şi de echipă ranked sunt disponibile.
Mod joc sau caracteristică dezactivată,Echipele ranked dezactivate,"E posibil ca unii dintre voi să se confrunte cu probleme în jocurile de echipă ranked. Am luat la cunoştinţă de existenţa problemei şi am dezactivat temporar lista de aşteptare, cât timp lucrăm la remediere. Jocurile standard şi solo/duo ranked sunt în continuare disponibile.",Am dezactivat jocurile ranked solo/duo cât timp remediem problemele la lista de aşteptare. Jocurile standard şi de echipă ranked sunt disponibile.
Mod joc sau caracteristică dezactivată,Jocuri ranked 3v3 dezactivate,"E posibil ca unii dintre voi să se confrunte cu probleme în jocurile ranked 3v3. Am luat la cunoştinţă de existenţa problemei şi am dezactivat temporar lista de aşteptare, cât timp lucrăm la remediere. Jocurile standard şi 5v5 ranked sunt în continuare disponibile.",Am dezactivat jocurile ranked 3v3 cât timp remediem unele probleme la lista de aşteptare. Jocurile standard şi 5v5 ranked sunt în continuare disponibile.
Mod joc sau caracteristică dezactivată,Jocuri ranked dezactivate,"E posibil ca unii dintre voi să se confrunte cu probleme în jocurile ranked. Am luat la cunoştinţă de existenţa problemei şi am dezactivat temporar lista de aşteptare, cât timp lucrăm la remediere. Jocurile standard sunt în continuare disponibile.",Am dezactivat jocurile ranked cât timp remediem unele probleme la lista de aşteptare. Jocurile standard sunt în continuare disponibile.
Mod joc sau caracteristică dezactivată,Jocuri standard în modul de recrutare dezactivate,"E posibil ca unii dintre voi să se confrunte cu probleme în jocurile standard în modul de recrutare. Am luat la cunoştinţă de existenţa problemei şi am dezactivat temporar lista de aşteptare, cât timp lucrăm la remediere. Jocurile personalizate şi standard cu alegere aleatorie sunt în continuare disponibile.",Am dezactivat jocurile standard în modul de recrutare cât timp remediem unele probleme la lista de aşteptare. Jocurile personalizate şi cu alegere aleatorie sunt disponibile.
Mod joc sau caracteristică dezactivată,Jocuri standard cu alegere aleatorie dezactivate,"E posibil ca unii dintre voi să se confrunte cu probleme în jocurile standard cu alegere aleatorie. Am luat la cunoştinţă de existenţa problemei şi am dezactivat temporar lista de aşteptare, cât timp lucrăm la remediere. Jocurile personalizate şi recrutare standard sunt în continuare disponibile.",Am dezactivat jocurile standard cu alegere aleatorie cât timp remediem unele probleme la lista de aşteptare. Jocurile personalizate şi recrutare standard sunt disponibile.
Mod joc sau caracteristică dezactivată,Modul Dominion dezactivat,"E posibil ca unii dintre voi să se confrunte cu probleme la modul de joc Dominion. Am luat la cunoştinţă de existenţa problemei şi am dezactivat temporar lista de aşteptare, cât timp lucrăm la remediere. Toate celelalte moduri de joc sunt în continuare disponibile. ",Am dezactivat modul de joc Dominion cât timp remediem unele probleme la lista de aşteptare. Toate celelalte moduri de joc sunt disponibile.
Mod joc sau caracteristică dezactivată,Twisted Treeline dezactivat,"E posibil ca unii dintre voi să se confrunte cu probleme la jocurile Twisted Treeline. Am luat la cunoştinţă de existenţa problemei şi am dezactivat temporar lista de aşteptare, cât timp lucrăm la remediere. Toate celelalte moduri de joc sunt în continuare disponibile. ",Am dezactivat jocurile Twisted Treeline cât timp remediem unele probleme la lista de aşteptare. Toate celelalte hărţi sunt disponibile.
Mod joc sau caracteristică dezactivată,Jocuri personalizate dezactivate,"E posibil ca unii dintre voi să se confrunte cu probleme în jocurile personalizate. Am aflat de existenţa problemei şi am dezactivat temporar acest mod de joc, cât timp lucrăm la remediere. Toate celelalte moduri de joc sunt în continuare disponibile. ",Am dezactivat jocurile personalizate cât timp remediem unele probleme. Toate celelalte moduri de joc sunt în continuare disponibile.
Mod joc sau caracteristică dezactivată,Procesul de alcătuire a echipei dezactivat,"E posibil ca unii dintre voi să se confrunte cu probleme în procesul de alcătuire a echipei. Am luat la cunoştinţă de existenţa problemei şi am dezactivat temporar toate listele de aşteptare pentru alcătuirea echipelor, cât timp lucrăm la remediere. Jocurile personalizate sunt în continuare disponibile. ","Am dezactivat temporar procesul de alcătuire a echipei, cât timp remediem unele probleme la listele de aşteptare. Jocurile personalizate sunt în continuare disponibile."
Mod joc sau caracteristică dezactivată,Număr minim de jucători la jocurile personalizate,"Momentan, ne confruntăm cu un flux neobişnuit de mare pe server. Pentru a elimina suprasolicitarea sistemului, am limitat temporar jocurile personalizate la un număr minim de NUMĂR de jucători, cât timp remediem problema.",Jocurile personalizate sunt limitate temporar la minim NUMĂR jucători.
Probleme la chat,Întreţinere de urgenţă chat,Chatul League of Legends este momentan închis pentru întreţinere. ,Chatul este momentan închis pentru întreţinere.
Probleme la chat,Lista de prieteni nu se încarcă,E posibil ca unii dintre voi să se confrunte cu probleme la încărcarea listei de prieteni. Am luat la cunoştinţă de această problemă şi lucrăm să o remediem cât mai rapid posibil. ,Lucrăm la remedierea unei probleme care poate împiedica încărcarea listei de prieteni.
Probleme la chat,Deconectare din chat,"E posibil ca unii dintre voi să se confrunte cu întreruperi intermitente ale chatului. Am luat la cunoştinţă de această problemă şi lucrăm să o remediem cât mai rapid posibil. În cazul în care sunteţi deconectaţi de la chat, folosiţi butonul Reconectare pentru a restabili conexiunea.",Lucrăm momentan la remedierea unei probleme ce poate cauza deconectarea de la chat.
Probleme de întreruperi/autentificare,Probleme generale de autentificare,Este posibil ca unii dintre voi să întâmpine probleme la autentificare. Am luat la cunoştinţă de existenţa problemei şi lucrăm să o remediem cât mai rapid posibil.,Lucrăm momentan la remedierea unei probleme ce poate cauza probleme la autentificare.
Probleme de întreruperi/autentificare,Întreţinere de urgenţă,League of Legends este momentan închis pentru întreţinere.,League of Legends este momentan închis pentru întreţinere.
Probleme de întreruperi/autentificare,Perioadă de întreţinere extinsă,Am întâmpinat nişte complicaţii neprevăzute şi extindem perioada de întreţinere.,Am extins perioada de întreţinere.
Probleme de întreruperi/autentificare,Jocurile se întrerup,E posibil ca unii dintre voi să se confrunte cu nişte căderi intermitente ale jocului. Am luat la cunoştinţă de existenţa problemei şi lucrăm să o remediem cât mai rapid posibil.,Lucrăm momentan la remedierea unei probleme din cauza căreia jocul poate cădea.
Probleme de întreruperi/autentificare,Deconectare,Este posibil ca unii dintre voi să fie deconectaţi intermitent de la joc. Am luat la cunoştinţă de existenţa problemei şi lucrăm să o remediem cât mai rapid posibil.,Lucrăm momentan la remedierea unei probleme ce poate cauza deconectarea intermitentă de la joc.
Întreţinere planificată,Întreţinere planificată,League of Legends este momentan închis pentru întreţinere planificată.,League of Legends este momentan închis pentru întreţinere planificată.
Întreţinere planificată,Perioadă de întreţinere extinsă,Am întâmpinat nişte probleme cu patch-ul şi extindem perioada de întreţinere planificată. ,Extindem perioada de întreţinere planificată.
